ID_REF,logFC,pval,FDR
1007_s_at,-0.05579186798039082,0.6920197185016432,
1053_at,8.46999489780842e-05,0.999391862622185,
117_at,0.21477546445522133,0.6567671695818555,
121_at,0.059984161969678595,0.528626558060062,
1255_g_at,0.295618917064993,0.11619078717461417,
1294_at,-0.13805241006133784,0.11876861328409577,
1316_at,0.006309712628425501,0.956649104307659,
1320_at,0.3731629546302422,0.12066509459764382,
1405_i_at,-1.1656704952186487,6.064691367971654e-07,
1431_at,0.11173508861241999,0.37997346092403783,
1438_at,0.16023473270116728,0.3771108926113681,
1487_at,-0.13535075702618293,0.08471308169558976,
1494_f_at,-0.056884529804708706,0.6212445150651136,
1552256_a_at,-0.048273859426743115,0.6561563878369776,
1552257_a_at,-0.0019955700161684575,0.9827450116908695,
1552258_at,0.1780299517734809,0.1945187965992322,
1552261_at,0.08113883895886609,0.5361613034093853,
1552263_at,-0.021517579969792422,0.8175072597287714,
1552264_a_at,-0.1243982031262938,0.11363562003266665,
1552266_at,-0.13519806863025963,0.339149431184674,
1552269_at,0.21040498698667687,0.3641043350274634,
1552271_at,0.03294631016450644,0.8607256819558367,
1552272_a_at,0.2561397280021618,0.11198045867876372,
1552274_at,0.05205759646660901,0.629860941289558,
1552275_s_at,0.11620945782179604,0.3285718175046408,
1552276_a_at,0.04797715051985918,0.6716553186462229,
1552277_a_at,0.26838994016816287,0.029064551305233482,
1552278_a_at,0.32659017651400646,0.07378038295185864,
1552279_a_at,0.10643289399460976,0.36486836771130915,
1552280_at,0.3130367194750754,0.0928242951038803,
1552281_at,0.12233679271166409,0.4109801534313803,
1552283_s_at,0.08249067246221031,0.5384255083421741,
1552286_at,-0.20150947488160664,0.16255488565836992,
1552287_s_at,-0.03012945462912775,0.7579550262584251,
1552288_at,-0.07699487548353723,0.6713258267426503,
1552289_a_at,0.19602210681465593,0.22330970947468626,
1552291_at,-0.0977014448629614,0.2616003799494087,
1552293_at,0.30972524781646626,0.1110550553761634,
1552295_a_at,-0.034408979388039995,0.7365833509706358,
1552296_at,-0.4769511649764411,0.050408480597697015,
1552299_at,-0.17282886074305281,0.28774884326994277,
1552301_a_at,0.06706399277113562,0.5216288688517062,
1552302_at,-0.5340260116197513,0.0001388331829004884,
1552303_a_at,-0.3867538508873132,0.0012141548398733088,
1552304_at,0.23312098533153236,0.25730769658387304,
1552306_at,-0.138254828257538,0.3781306522315675,
1552307_a_at,-0.17551408229657106,0.09321092393473772,
1552309_a_at,-0.048406946460314515,0.721377994272846,
1552310_at,-0.2486750103277533,0.022772035787699815,
1552311_a_at,0.004070930242116688,0.9734720599262168,
1552312_a_at,0.08121836509533864,0.6766456444246464,
1552314_a_at,-0.06054129339027625,0.5295634812127695,
1552315_at,-0.2684562953341407,0.04597451816594274,
1552316_a_at,-0.6563520090154693,0.00011979300027278412,
1552318_at,-0.6350627393183279,8.905225622624548e-05,
1552319_a_at,0.15367923303511155,0.3712858490021461,
1552320_a_at,-0.030257656495401797,0.8519428481362289,
1552321_a_at,0.17003588825378646,0.4589191100439781,
1552322_at,-0.1959608092500309,0.1942657419872936,
1552323_s_at,-0.11973536195473056,0.35314242131200424,
1552325_at,0.03159591596580391,0.8546242978036017,
1552326_a_at,0.018980275480175557,0.9035212780560385,
1552327_at,-0.11392801272931852,0.46908770703010094,
1552329_at,0.5344470803325567,0.00010906886240481556,
1552330_at,-0.204878474440779,0.11764056717454653,
1552332_at,-0.3354372835955042,0.019260310539139357,
1552334_at,0.1518989226052856,0.211427758805443,
1552335_at,0.24465742291115689,0.20398326191417435,
1552337_s_at,-0.13628183181408637,0.5707250337435308,
1552338_at,0.2333431294562347,0.30152980221475345,
1552340_at,0.07430607563044944,0.6824981714520769,
1552343_s_at,-0.03351043693183264,0.7355485057606133,
1552344_s_at,0.08771730490173191,0.3055762550345142,
1552347_at,-0.2266324102969417,0.055105659883520536,
1552348_at,0.20979360312112583,0.2505256755163004,
1552349_a_at,-0.24807035609062034,0.18613369365786056,
1552354_at,-0.25808528943638454,0.2677128013874525,
1552355_s_at,0.059344288089432595,0.739484466317939,
1552359_at,0.028587384958250972,0.8977791140190511,
1552360_a_at,0.05331351749362945,0.6632051084457731,
1552362_a_at,0.012833105370827269,0.9029986988285955,
1552364_s_at,0.041955948983655844,0.7597304300927421,
1552365_at,0.24223157578360333,0.14466708007449172,
1552367_a_at,0.15580066485691013,0.4976812842455257,
1552368_at,0.08497364660715334,0.610665649010177,
1552370_at,-0.02462675124392888,0.8144342527785151,
1552372_at,0.1573819313295255,0.45974436391976203,
1552373_s_at,-0.07461818344428828,0.6892143720333623,
1552375_at,0.05262057693481115,0.6418670295472626,
1552377_s_at,0.06929107023890602,0.6285734194928898,
1552378_s_at,0.2091197014555597,0.3127311427060723,
1552379_at,-0.5000950383036109,0.0268506825100333,
1552381_at,0.4809092726184545,0.019792065927273544,
1552383_at,-0.07238459496139882,0.5713100165574434,
1552384_a_at,0.1412895903622129,0.3944398037633151,
1552386_at,0.08326324993939593,0.722751537753271,
1552388_at,-0.43297182231508646,0.009102328668876798,
1552389_at,0.31774589636657957,0.18058850871104604,
1552390_a_at,0.09403814308482161,0.6546028040022196,
1552391_at,-0.12928422702031828,0.43672140171769447,
1552393_at,0.23280031137253054,0.24775470375849584,
1552394_a_at,0.025408716292242062,0.9020230925390718,
1552395_at,0.2531941244162592,0.10985172581415298,
1552396_at,0.16038051042444046,0.3665310401823041,
1552398_a_at,1.2858893591358456,0.056716720924575546,
1552399_a_at,-0.3012090997395296,0.04110465010019759,
1552400_a_at,-0.008858091443757488,0.9457748954030327,
1552401_a_at,-0.06058813310087796,0.6844365953551772,
1552402_at,0.19376667739239117,0.29516418386231874,
1552405_at,0.14689899230698789,0.4432332491758908,
1552408_at,0.11741600168357014,0.5619399967046039,
1552409_a_at,-0.1817374800906988,0.3025375169350989,
1552410_at,-0.049895718871243666,0.7976026413069893,
1552411_at,0.12271188668920274,0.38704491066806035,
1552412_a_at,0.12021738582333708,0.5978236178381718,
1552414_at,0.21082393240263997,0.2714390175653596,
1552415_a_at,0.03668255568099443,0.8458891563940164,
1552417_a_at,-0.026170378255677917,0.8062425720057775,
1552418_at,0.3705821104607159,0.030861987413923986,
1552419_s_at,0.05256517718684961,0.6595282763368153,
1552421_a_at,-0.03710718748996911,0.8438296038984717,
1552422_at,0.3362085869185787,0.20369961313192916,
1552423_at,0.2900907375281161,0.04221868256377965,
1552424_at,0.41190390798589327,0.13602978384004905,
1552425_a_at,0.25270686894277095,0.20714021377538713,
1552426_a_at,0.039037093403472056,0.6746741884711374,
1552427_at,-0.07854982455166404,0.6016803224199518,
1552430_at,-0.09651997284777902,0.576497399718514,
1552432_at,0.15242807140834547,0.510038461056491,
1552436_a_at,0.1891124596679843,0.33661701411238676,
1552438_a_at,-0.20549439925951418,0.20062942230763203,
1552439_s_at,0.6470028546808066,0.014517131440547849,
1552440_at,0.12917277056985732,0.38344080110181133,
1552445_a_at,0.10760019335121562,0.536414775926545,
1552448_a_at,0.3417233743996082,0.10380447438451441,
1552449_a_at,0.44517607936615367,0.0411707071248163,
1552450_a_at,0.02329872089836993,0.8723196631934822,
1552452_at,0.45164059359299635,0.10871035093298682,
